Name,Description,Type,Measurement,Muscles,Equipments
Сведение рук в тренажере сидя,"Сядьте, отрегулируйте высоту, возьмитесь за рукояти, слегка согните локти, сведите руки перед грудью в плавном широком движении через дыхание, сжимаем грудные мышцы в конечной точке сведения, затем медленно возвращайтесь в исходное положение.",Strength,Repeats,Chest|Shoulders,Strength Machine
Кроссовер,"Встаньте между блоками, возьмите рукояти, слегка согните локти, на выдохе сведите руки перед собой широкой дугой, сжимая грудные мышцы, затем плавно вернитесь в исходное положение, удерживая контроль над движением.",Strength,Repeats,Chest|Triceps|Shoulders,Strength Machine
Жим на нижний блок для грудных мышц,"Встаньте между нижними блоками, возьмите рукояти, сделайте шаг одной ногой вперед, медленно сведите руки перед собой на уровне пояса, сожмите нижнюю часть груди, задержитесь и плавно вернитесь в исходное положение.",Strength,Repeats,Chest|Shoulders,Strength Machine
Растяжка груди и передней части плеч,"Встаньте прямо, возьмите палку широким хватом перед собой, медленно поднимите её за голову, прогните плечи назад, почувствуйте растяжку грудных мышц, задержитесь, затем вернитесь в исходное положение.",Stretchin,Repeats,Chest|Shoulders,Body Bar
Жим гантелей на наклонной скамье,"Отрегулируйте скамью под наклоном, лягте с гантелями, держите их у груди, на выдохе выжмите вверх до распрямления рук, сведя гантели над плечами, затем медленно опустите в исходное положение, соблюдая контроль и дыхание.",Strength,Repeats,Chest|Triceps|Shoulders,Dumbbell|Bench
Жим штанги лёжа,"Ложитесь на скамью, локти 90 градусов от корпуса. Опускайте штангу под углом к груди.",Strength,Repeats,Chest|Triceps|Shoulders,Bench|Barbell
Гиперэкстензия,"Отрегулируйте гиперэкстензию, упритесь стопами и бедрами, скрестите руки на груди, с прямой спиной медленно наклоняйтесь вперед до ощущения растяжки, затем плавно возвращайтесь обратно, не прогибая спину.",Strength,Repeats,Back,Strength Machine
Тяга гантелей в наклоне,"Возьмите гантели в обе руки, слегка наклонитесь вперед, держите спину прямо, на выдохе подтяните гантели к себе к бокам, сокращая мышцы спины, задержитесь, затем медленно вернитесь в исходное положение.",Strength,Repeats,Back|Biceps,Dumbbell
Становая тяга,"Встаньте перед штангой на ширине плеч, наклонитесь и возьмитесь за гриф прямыми руками, на выдохе выпрямитесь, держа штангу в опущенных руках, затем вернитесь в исходное положение, повторите нужное количество раз.",Strength,Repeats,Back|Glutes|Upper Legs,Barbell
Тяга штанги к поясу,"Загрузите штангу и встаньте перед ней на ширине плеч, наклонитесь с прямой спиной и возьмитесь за гриф, поднимите штангу, наклоните корпус почти параллельно полу, на выдохе подтяните штангу к нижним рёбрам, сводя лопатки, затем медленно опустите штангу в исходное положение, сохраняя контроль.",Strength,Repeats,Back|Shoulders|Biceps,Barbell
Лицевая тяга с канатом,"Встаньте лицом к верхнему блоку, возьмитесь за рукояти или канат, на выдохе подтяните их к лицу, разводя плечи назад, задержитесь, затем медленно вернитесь в исходное положение.",Strength,Repeats,Back,Strength Machine
Тяга гантели в наклоне к поясу одной рукой,"Встаньте на колени сбоку от скамьи, опираясь одной рукой и коленом на скамью, другая нога на полу, возьмите гантель свободной рукой, на выдохе медленно подтяните её к груди, почувствуйте работу спины, задержитесь и затем плавно опустите гантель обратно, повторите нужное количество раз и поменяйте сторону.",Strength,Repeats,Back|Biceps,Dumbbell
Румынская становая тяга,"Поставьте штангу перед собой, возьмитесь за гриф чуть шире плеч, слегка согните колени, держите спину и бёдра ровно, на выдохе поднимите штангу вверх, используя силу бёдер, штанга должна опуститься к бёдрам, затем медленно опустите её обратно на пол, сохраняя небольшой сгиб в коленях, и повторяйте нужное количество раз.",Strength,Repeats,Upper Legs|Glutes|Forearms,Barbell
Разгибание ног в тренажёре,"Отрегулируйте сидение тренажёра для разгибания ног, чтобы валики располагались над лодыжками, сядьте, прижмитесь спиной и бёдрами к спинке, возьмитесь за ручки и медленно разогните ноги до выпрямления, задержитесь, затем плавно вернитесь в исходное положение, выполняйте упражнение в контролируемом темпе, не выпрямляйте колени до конца.",Strength,Repeats,Upper Legs,Strength Machine
Подъем на носки с гантелями,"Возьмите гантель в одну руку, встаньте носками и подушечками стоп на платформу, пятки и своды свисают, другую руку положите на опору для баланса, медленно поднимитесь на носки максимально вверх, затем опуститесь вниз, растягивая икры, повторяйте нужное количество раз.",Strength,Repeats,Lower Legs,Dumbbell|Weight Plate
Подъем на носки в тренажере Смита,"Встаньте на носки тренажёра для подъёма на икры, плечи уприте под верхние подушки, медленно поднимитесь на носки, максимально приподнимая пятки, задержитесь, затем плавно вернитесь в исходное положение и повторите нужное количество раз.",Strength,Repeats,Lower Legs,Strength Machine
Ягодичный мост со скамьи,"Сядьте на пол, спиной упритесь в скамью, положите штангу на область таза, плечи расположите на краю скамьи, затем мощно выжмите таз вверх, удерживая штангу, чтобы туловище и бёдра были в одной линии, затем опустите таз обратно и повторите нужное количество раз.",Strength|Power,Repeats,Glutes|Lower Legs|Upper Legs,Barbell
Жим одной ногой в тренажере,"Настройте тренажёр для жима ногой и выберите рабочий вес, сядьте и поставьте одну ногу на платформу, выжмите платформу, чтобы снять вес с упоров, затем медленно опустите платформу до угла в колене около 45 градусов, сожмите ягодицы, задержитесь и вернитесь в исходное положение, повторяйте нужное количество раз.",Strength,Repeats,Glutes|Lower Legs|Upper Legs,Strength Machine
Подъем ног в висе на перекладине,"Повисните на турнике, держась прямыми руками, напрягите мышцы кора, на выдохе медленно поднимите прямые ноги вверх к корпусу до образования прямого угла, задержитесь на секунду, затем плавно опустите ноги обратно, избегайте рывков и раскачиваний.",Strength,Repeats,Abs|Upper Legs|Forearms|Shoulders,Pullup Bar
Планка,"Встаньте на четвереньки, ладони под плечами, колени под бёдрами, затем выпрямите ноги назад, напрягите пресс и держите тело прямым, удерживайте позицию 30–60 секунд, затем расслабьтесь и повторите нужное количество раз.",Strength,Time,Abs|Back,Body Weight
Обратные скручивания,"Лягте спиной на пол, руки вдоль корпуса, согните ноги в коленях и вытяните их, затем на вдохе подтяните ноги к груди, подкручивая таз и отрывая бёдра от пола, напрягите пресс в верхней точке, задержитесь, затем медленно вернитесь в исходное положение и повторите нужное количество раз.",Strength,Repeats,Abs,Body Weight
